dyad,F0_MAX_synchrony,F0_MAX_convergence,F0_MAX_proximity,F0_MIN_synchrony,F0_MIN_convergence,F0_MIN_proximity,F0_MEAN_synchrony,F0_MEAN_convergence,F0_MEAN_proximity,F0_MEDIAN_synchrony,F0_MEDIAN_convergence,F0_MEDIAN_proximity,F0_STDV_synchrony,F0_STDV_convergence,F0_STDV_proximity,F0_MAS_synchrony,F0_MAS_convergence,F0_MAS_proximity,ENG_MAX_synchrony,ENG_MAX_convergence,ENG_MAX_proximity,ENG_MIN_synchrony,ENG_MIN_convergence,ENG_MIN_proximity,ENG_MEAN_synchrony,ENG_MEAN_convergence,ENG_MEAN_proximity,ENG_STDV_synchrony,ENG_STDV_convergence,ENG_STDV_proximity,VCD2TOT_FRAMES_synchrony,VCD2TOT_FRAMES_convergence,VCD2TOT_FRAMES_proximity,speech_rate_synchrony,speech_rate_convergence,speech_rate_proximity
146,0.1779995288336407,-0.7285679662248618,-67.07513944574885,0.3540740089895327,0.041640550685061735,-0.6909630164749956,0.2863286254916687,-0.7012948131139488,-36.38654879798531,0.2633854692860362,-0.6406936475597678,-36.404902700018056,0.1820034161697463,-0.7044019853298922,-12.67656449039793,-0.3570680380952533,-0.5556638960487817,-111.45520868199782,-0.38608621641246404,-0.16315120050114576,-0.4392352808379911,-0.3370848102895836,-0.23834480982897985,-3.9315020016856295,-0.2936381312890093,0.08978091930264856,-1.7080023277747642,0.4749051709504772,-0.23013402435902183,-0.8409205195352474,-0.19184824059974262,-0.2761554118770868,-0.05892692593261484,-0.4132626399032363,0.33741932644385225,-0.5653562826877074
19,0.4624424339207545,-0.21162577348512754,-31.307877043864266,0.6786838188896903,0.34727529856229955,-3.31706444785803,0.5587162809112522,-0.3480713939192183,-8.036179336633154,0.4936083656779277,0.36483646207838544,-1.2906746202423562,0.4842116720246344,0.4603282624920404,-6.682823206463002,-0.6597214558557322,-0.8902226088149331,-79.4984651248792,0.8627350789952747,-0.36708181463471945,-0.20895441201568588,-0.29685042574291115,-0.6875255873691198,-13.325730539910104,0.4802257711685195,-0.7036653361074073,-4.844630636627421,-0.5263278171110769,-0.707815826280405,-5.080510030153041,0.28419926016157177,-0.7219955611420384,-0.17710901177675353,0.38230183279143615,-0.5495195096501811,-0.6128459103981756
149,-0.5348632686978199,-0.48203661013599364,-50.49361180744498,-0.38340154885631156,0.002445546914373479,-7.690733280344034,-0.17429255443093672,-0.13271318430839515,-40.663822022153596,0.27286993016218375,-0.1831604391482018,-47.932343381437036,-0.629489462218278,0.15027010334905788,-13.194755214861466,-0.6105128854428549,-0.03355730740666225,-158.46957801656936,-0.18718312438903226,-0.4934592472278871,-0.32348505090030244,0.10668472069178318,0.30814067497775616,-0.810065370466603,0.263714216443798,0.3809319236884023,-1.440280909581901,0.13736399034096428,-0.15774691854031123,-1.5302709740861884,0.4618358933851647,-0.26441727475405796,-0.005511897119215847,0.16701133995960946,0.3038890912033001,-0.14350366764666767
24,0.7725465626720348,0.08300816126314327,-9.259366506936829,-0.4409502198019402,0.04214583180303898,-46.18877354621361,-0.6526365442973766,-0.428575655249673,-28.832764354767846,-0.6752989990543565,-0.40057547698587287,-27.18942642658348,0.2527639819557616,-0.24474972319517954,-11.654673554583692,0.46780948969183705,0.2908088922572144,-117.67010790663119,-0.1408703337085248,-0.7049810058862791,-0.9524598600096255,0.6405085405445523,0.14529745477160194,-9.718474648977793,-0.24059082277191202,0.5189889682902614,-3.0410055765971293,0.5437832849221867,0.11116325001155014,-4.068801021155494,-0.43774154779334024,0.6922038069020178,-0.23320230073866355,-0.7116134459528517,0.17890371928258303,-0.40980246917187024
25,-0.7435813017191081,0.061026875260251086,-110.15186991245656,-0.441474702273357,-0.200546356960194,-23.169116784858417,0.5621742506370859,0.5537251220804532,-5.931158879053157,-0.18248383432759957,0.7366410669342552,-4.232252628747517,-0.39429117840272565,0.0322803858868111,-21.814129662053112,0.3774193340970868,-0.0065448741597106406,-213.99512543160375,0.21322101389638207,0.49039334387701405,-2.548622355357736,-0.6209909421178387,0.17250564393693327,-4.73837605516702,0.36384054916382197,0.2645545034036889,-0.07296173032719366,-0.5044961680208779,0.6857564186799621,-2.1450577101775306,0.07218625235514438,0.6339901222359172,-0.12917441678485853,-0.6540734144553854,-0.12313925966355829,-2.1864643670155317
27,-0.57917325913284,0.25273523051643954,-93.10944809182635,0.4099376484135572,0.3532256130864899,-35.3017466186577,-0.2566804901820959,-0.17244703282842036,-80.21122579446319,0.27781120670332804,0.9008799570805983,-71.4096198701077,-0.24143720376468808,0.37361635386500375,-7.703473320904621,0.4134501921245649,0.21053946916987662,-67.65570143661353,0.31218657068924605,-0.5380518443381607,-2.0013149156796857,-0.5604747405761276,0.5629574786670335,-22.621667172344882,-0.6461626234073177,0.8126231663587214,-7.349731399571098,-0.5730180524157529,0.8802113076045972,-5.642289369790905,-0.5045992367920625,-0.6031319895695981,-0.02898391577716042,-0.4091627501988495,0.46243878025171736,-1.1252602679789998
28,-0.23377699193897128,0.49520712308760967,-143.2813389341258,-0.6190404224340085,0.6101331659339048,-57.8752966014535,0.3593493656407948,0.04205409484958868,-89.42951715183503,0.5168622525518751,-0.26775402064632736,-88.68514539142095,-0.14512251162268947,-0.049764822136490985,-8.094960480035454,0.2966151366143819,-0.5519993926812553,-114.19653962508599,-0.23412928582068848,0.27922893122944503,-1.7318862415974081,0.3613517540560799,-0.1730498000391662,-24.532808866564014,0.15629435919290594,0.3249006664491244,-7.05648487672385,0.47653866788904164,-0.046407288892150546,-8.026473086080223,0.6240874095880474,0.3210289062970854,-0.1337143652656161,-0.7311468190947285,0.4824410592115493,-0.5335419630419231
29,0.22999807746214782,0.14188595209826177,-17.940449031224716,0.599130880375926,0.7379119135688308,-18.190096494833654,0.12532378812811282,-0.00025228590503537123,-0.23291216532254566,-0.6398800194908606,-0.8704463224717747,-9.282205094042837,-0.7079736487162099,-0.2073381344039366,-13.939229437444183,-0.43054073696942335,-0.8242613800705655,-164.02947018553414,-0.6442186542217453,0.8858486817616177,-3.0491532323217854,0.5153232505500768,-0.8774504659554956,-23.096850282766145,0.5969910212186031,-0.9003350490797337,-4.026756927416258,0.688074644055939,-0.7665530190455745,-7.95231022068516,0.7049748316035407,-0.5437488005025984,-0.015316301220359319,0.4819522290164755,0.6087330659097459,-0.4252246424053787
31,0.5247642904951312,0.12942928631907752,-95.63567952478093,0.283170290483329,-0.07280654223033646,-6.678694307168598,0.2014719111819672,-0.29756960363375895,-28.53684395404065,0.07610332541073164,-0.14388898016004464,-28.068213178895405,0.7019344192548554,0.06375416327626728,-8.392940709232175,0.23836060669192394,0.3876724931775202,-143.904568799489,-0.7523624572101307,0.5570618250892942,-7.949554426345401,0.2824077188515517,-0.07416008634349264,-14.517059135751182,-0.46227240412533993,0.3369847490058304,-0.9009438901737994,0.2541732667942537,0.06697761231950179,-7.428415283401437,-0.633069778630632,0.45390085463321195,-0.11726205254444311,-0.341149449311215,-0.4859772863501792,-1.489056631756986
33,-0.8104632652747324,-0.2549058352625004,-10.828264085332023,0.8035478834832993,0.2891173016609516,-17.868872236266085,-0.8221029107388257,0.6884650339388657,-6.449631974844351,-0.9430445700281168,0.6978554163498896,-6.040967938837213,-0.8193168517517098,0.5687348702544934,-7.434648202725199,-0.2605590430162859,0.20466702422253835,-88.63622416918423,0.8071453943072106,0.7360549516165168,-1.260852025402329,-0.9475834271456334,-0.7728916922269027,-3.578132856526299,0.567901320777501,-0.8616905551267402,-4.627327665084174,-0.9309994207599785,-0.8674125297379112,-4.943168074480543,0.5668542758762155,0.24352363188088033,-0.06323931191812071,0.8285697264667387,-0.28300592147393083,-2.420607747827324
